areaCode,areaName,areaType,date,cumPeopleVaccinatedFirstDoseByPublishDate
K02000001,United Kingdom,overview,2021-07-10,45881721
K02000001,United Kingdom,overview,2021-07-09,45787958
K02000001,United Kingdom,overview,2021-07-08,45697875
K02000001,United Kingdom,overview,2021-07-07,45601445
K02000001,United Kingdom,overview,2021-07-06,45514492
K02000001,United Kingdom,overview,2021-07-05,45428681
K02000001,United Kingdom,overview,2021-07-04,45351719
K02000001,United Kingdom,overview,2021-07-03,45274497
K02000001,United Kingdom,overview,2021-07-02,45137108
K02000001,United Kingdom,overview,2021-07-01,45013503
K02000001,United Kingdom,overview,2021-06-30,44860978
K02000001,United Kingdom,overview,2021-06-29,44719762
K02000001,United Kingdom,overview,2021-06-28,44581771
K02000001,United Kingdom,overview,2021-06-27,44454511
K02000001,United Kingdom,overview,2021-06-26,44314799
K02000001,United Kingdom,overview,2021-06-25,44080358
K02000001,United Kingdom,overview,2021-06-24,43877861
K02000001,United Kingdom,overview,2021-06-23,43656327
K02000001,United Kingdom,overview,2021-06-22,43448680
K02000001,United Kingdom,overview,2021-06-21,43148843
K02000001,United Kingdom,overview,2021-06-20,43127763
K02000001,United Kingdom,overview,2021-06-19,42964013
K02000001,United Kingdom,overview,2021-06-18,42683772
K02000001,United Kingdom,overview,2021-06-17,42460632
K02000001,United Kingdom,overview,2021-06-16,42216654
K02000001,United Kingdom,overview,2021-06-15,42021089
K02000001,United Kingdom,overview,2021-06-14,41831056
K02000001,United Kingdom,overview,2021-06-13,41698429
K02000001,United Kingdom,overview,2021-06-12,41551201
K02000001,United Kingdom,overview,2021-06-11,41297016
K02000001,United Kingdom,overview,2021-06-10,41088485
K02000001,United Kingdom,overview,2021-06-09,40886878
K02000001,United Kingdom,overview,2021-06-08,40710319
K02000001,United Kingdom,overview,2021-06-07,40573517
K02000001,United Kingdom,overview,2021-06-06,40460576
K02000001,United Kingdom,overview,2021-06-05,40333231
K02000001,United Kingdom,overview,2021-06-04,40129618
K02000001,United Kingdom,overview,2021-06-03,39949694
K02000001,United Kingdom,overview,2021-06-02,39758428
K02000001,United Kingdom,overview,2021-06-01,39585665
K02000001,United Kingdom,overview,2021-05-31,39477158
K02000001,United Kingdom,overview,2021-05-30,39384055
K02000001,United Kingdom,overview,2021-05-29,39259168
K02000001,United Kingdom,overview,2021-05-28,39075642
K02000001,United Kingdom,overview,2021-05-27,38871200
K02000001,United Kingdom,overview,2021-05-26,38614683
K02000001,United Kingdom,overview,2021-05-25,38378564
K02000001,United Kingdom,overview,2021-05-24,38192417
K02000001,United Kingdom,overview,2021-05-23,38070038
K02000001,United Kingdom,overview,2021-05-22,37943681
K02000001,United Kingdom,overview,2021-05-21,37738271
K02000001,United Kingdom,overview,2021-05-20,37518614
K02000001,United Kingdom,overview,2021-05-19,37250363
K02000001,United Kingdom,overview,2021-05-18,36985505
K02000001,United Kingdom,overview,2021-05-17,36811405
K02000001,United Kingdom,overview,2021-05-16,36704672
K02000001,United Kingdom,overview,2021-05-15,36573354
K02000001,United Kingdom,overview,2021-05-14,36336023
K02000001,United Kingdom,overview,2021-05-13,36115955
K02000001,United Kingdom,overview,2021-05-12,35906671
K02000001,United Kingdom,overview,2021-05-11,35722461
K02000001,United Kingdom,overview,2021-05-10,35587348
K02000001,United Kingdom,overview,2021-05-09,35472295
K02000001,United Kingdom,overview,2021-05-08,35371669
K02000001,United Kingdom,overview,2021-05-07,35202642
K02000001,United Kingdom,overview,2021-05-06,35069641
K02000001,United Kingdom,overview,2021-05-05,34934171
K02000001,United Kingdom,overview,2021-05-04,34795074
K02000001,United Kingdom,overview,2021-05-03,34667904
K02000001,United Kingdom,overview,2021-05-02,34595304
K02000001,United Kingdom,overview,2021-05-01,34505380
K02000001,United Kingdom,overview,2021-04-30,34362205
K02000001,United Kingdom,overview,2021-04-29,34216616
K02000001,United Kingdom,overview,2021-04-28,34094048
K02000001,United Kingdom,overview,2021-04-27,33959908
K02000001,United Kingdom,overview,2021-04-26,33843580
K02000001,United Kingdom,overview,2021-04-25,33752885
K02000001,United Kingdom,overview,2021-04-24,33673190
K02000001,United Kingdom,overview,2021-04-23,33524423
K02000001,United Kingdom,overview,2021-04-22,33388637
K02000001,United Kingdom,overview,2021-04-21,33257651
K02000001,United Kingdom,overview,2021-04-20,33139742
K02000001,United Kingdom,overview,2021-04-19,33032120
K02000001,United Kingdom,overview,2021-04-18,32932448
K02000001,United Kingdom,overview,2021-04-17,32849223
K02000001,United Kingdom,overview,2021-04-16,32709778
K02000001,United Kingdom,overview,2021-04-15,32574221
K02000001,United Kingdom,overview,2021-04-14,32444439
K02000001,United Kingdom,overview,2021-04-13,32326604
K02000001,United Kingdom,overview,2021-04-12,32250481
K02000001,United Kingdom,overview,2021-04-11,32190576
K02000001,United Kingdom,overview,2021-04-10,32121353
K02000001,United Kingdom,overview,2021-04-09,32010244
K02000001,United Kingdom,overview,2021-04-08,31903366
K02000001,United Kingdom,overview,2021-04-07,31807124
K02000001,United Kingdom,overview,2021-04-06,31707594
K02000001,United Kingdom,overview,2021-04-05,31622367
K02000001,United Kingdom,overview,2021-04-04,31581623
K02000001,United Kingdom,overview,2021-04-03,31533568
K02000001,United Kingdom,overview,2021-04-02,31425682
K02000001,United Kingdom,overview,2021-04-01,31318262
K02000001,United Kingdom,overview,2021-03-31,31147444
K02000001,United Kingdom,overview,2021-03-30,30908010
K02000001,United Kingdom,overview,2021-03-29,30682093
K02000001,United Kingdom,overview,2021-03-28,30445284
K02000001,United Kingdom,overview,2021-03-27,30151736
K02000001,United Kingdom,overview,2021-03-26,29727435
K02000001,United Kingdom,overview,2021-03-25,29316130
K02000001,United Kingdom,overview,2021-03-24,28991188
K02000001,United Kingdom,overview,2021-03-23,28653523
K02000001,United Kingdom,overview,2021-03-22,28327873
K02000001,United Kingdom,overview,2021-03-21,27997976
K02000001,United Kingdom,overview,2021-03-20,27630970
K02000001,United Kingdom,overview,2021-03-19,26878662
K02000001,United Kingdom,overview,2021-03-18,26263732
K02000001,United Kingdom,overview,2021-03-17,25735472
K02000001,United Kingdom,overview,2021-03-16,25273226
K02000001,United Kingdom,overview,2021-03-15,24839906
K02000001,United Kingdom,overview,2021-03-14,24453221
K02000001,United Kingdom,overview,2021-03-13,24196211
K02000001,United Kingdom,overview,2021-03-12,23684103
K02000001,United Kingdom,overview,2021-03-11,23314525
K02000001,United Kingdom,overview,2021-03-10,23053716
K02000001,United Kingdom,overview,2021-03-09,22809829
K02000001,United Kingdom,overview,2021-03-08,22592528
K02000001,United Kingdom,overview,2021-03-07,22377255
K02000001,United Kingdom,overview,2021-03-06,22213112
K02000001,United Kingdom,overview,2021-03-05,21796278
K02000001,United Kingdom,overview,2021-03-04,21358815
K02000001,United Kingdom,overview,2021-03-03,20982571
K02000001,United Kingdom,overview,2021-03-02,20703615
K02000001,United Kingdom,overview,2021-03-01,20478619
K02000001,United Kingdom,overview,2021-02-28,20275451
K02000001,United Kingdom,overview,2021-02-27,20089551
K02000001,United Kingdom,overview,2021-02-26,19682048
K02000001,United Kingdom,overview,2021-02-25,19177555
K02000001,United Kingdom,overview,2021-02-24,18691835
K02000001,United Kingdom,overview,2021-02-23,18242873
K02000001,United Kingdom,overview,2021-02-22,17916181
K02000001,United Kingdom,overview,2021-02-21,17723840
K02000001,United Kingdom,overview,2021-02-20,17582121
K02000001,United Kingdom,overview,2021-02-19,17247442
K02000001,United Kingdom,overview,2021-02-18,16875536
K02000001,United Kingdom,overview,2021-02-17,16423082
K02000001,United Kingdom,overview,2021-02-16,15940972
K02000001,United Kingdom,overview,2021-02-15,15576107
K02000001,United Kingdom,overview,2021-02-14,15300151
K02000001,United Kingdom,overview,2021-02-13,15062189
K02000001,United Kingdom,overview,2021-02-12,14556827
K02000001,United Kingdom,overview,2021-02-11,14012224
K02000001,United Kingdom,overview,2021-02-10,13509108
K02000001,United Kingdom,overview,2021-02-09,13058298
K02000001,United Kingdom,overview,2021-02-08,12646486
K02000001,United Kingdom,overview,2021-02-07,12294006
K02000001,United Kingdom,overview,2021-02-06,12015018
K02000001,United Kingdom,overview,2021-02-05,11465210
K02000001,United Kingdom,overview,2021-02-04,10971047
K02000001,United Kingdom,overview,2021-02-03,10490487
K02000001,United Kingdom,overview,2021-02-02,10021471
K02000001,United Kingdom,overview,2021-02-01,9646715
K02000001,United Kingdom,overview,2021-01-31,9296367
K02000001,United Kingdom,overview,2021-01-30,8977329
K02000001,United Kingdom,overview,2021-01-29,8378940
K02000001,United Kingdom,overview,2021-01-28,7891184
K02000001,United Kingdom,overview,2021-01-27,7476765
K02000001,United Kingdom,overview,2021-01-26,7164387
K02000001,United Kingdom,overview,2021-01-25,6853327
K02000001,United Kingdom,overview,2021-01-24,6573570
K02000001,United Kingdom,overview,2021-01-23,6353321
K02000001,United Kingdom,overview,2021-01-22,5861351
K02000001,United Kingdom,overview,2021-01-21,5383103
K02000001,United Kingdom,overview,2021-01-20,4973248
K02000001,United Kingdom,overview,2021-01-19,4609740
K02000001,United Kingdom,overview,2021-01-18,4266577
K02000001,United Kingdom,overview,2021-01-17,4062501
K02000001,United Kingdom,overview,2021-01-16,3872394
K02000001,United Kingdom,overview,2021-01-15,3576263
K02000001,United Kingdom,overview,2021-01-14,3234946
K02000001,United Kingdom,overview,2021-01-13,2918252
K02000001,United Kingdom,overview,2021-01-12,2639309
K02000001,United Kingdom,overview,2021-01-11,2431648
K02000001,United Kingdom,overview,2021-01-10,2286572
