areaCode,areaName,areaType,date,age,rate,value
E92000001,England,nation,2020-08-17,0_to_5,17.3,679
E92000001,England,nation,2020-08-17,6_to_17,7.6,617
E92000001,England,nation,2020-08-17,85+,1772.2,24925
E92000001,England,nation,2020-08-17,65_to_84,520.7,47163
E92000001,England,nation,2020-08-16,18_to_64,105.7,35925
E92000001,England,nation,2020-08-16,0_to_5,17.3,679
E92000001,England,nation,2020-08-16,6_to_17,7.5,616
E92000001,England,nation,2020-08-16,85+,1771.7,24917
E92000001,England,nation,2020-08-16,65_to_84,520.5,47148
E92000001,England,nation,2020-08-15,18_to_64,105.6,35903
E92000001,England,nation,2020-08-15,0_to_5,17.3,679
E92000001,England,nation,2020-08-15,6_to_17,7.5,615
E92000001,England,nation,2020-08-15,85+,1771.3,24912
E92000001,England,nation,2020-08-15,65_to_84,520.4,47137
E92000001,England,nation,2020-08-14,18_to_64,105.6,35881
E92000001,England,nation,2020-08-14,0_to_5,17.3,679
E92000001,England,nation,2020-08-14,6_to_17,7.5,613
E92000001,England,nation,2020-08-14,85+,1770.8,24905
E92000001,England,nation,2020-08-14,65_to_84,520.3,47130
E92000001,England,nation,2020-08-13,18_to_64,105.5,35857
E92000001,England,nation,2020-08-13,0_to_5,17.2,677
E92000001,England,nation,2020-08-13,6_to_17,7.5,612
E92000001,England,nation,2020-08-13,85+,1770.4,24899
E92000001,England,nation,2020-08-13,65_to_84,520.1,47108
E92000001,England,nation,2020-08-12,18_to_64,105.4,35834
E92000001,England,nation,2020-08-12,0_to_5,17.2,676
E92000001,England,nation,2020-08-12,6_to_17,7.5,611
E92000001,England,nation,2020-08-12,85+,1769.8,24890
E92000001,England,nation,2020-08-12,65_to_84,519.8,47082
E92000001,England,nation,2020-08-11,18_to_64,105.3,35809
E92000001,England,nation,2020-08-11,0_to_5,17.2,674
E92000001,England,nation,2020-08-11,6_to_17,7.5,611
E92000001,England,nation,2020-08-11,85+,1769.3,24884
E92000001,England,nation,2020-08-11,65_to_84,519.6,47064
E92000001,England,nation,2020-08-10,18_to_64,105.3,35782
E92000001,England,nation,2020-08-10,0_to_5,17.1,670
E92000001,England,nation,2020-08-10,6_to_17,7.4,608
E92000001,England,nation,2020-08-10,85+,1768.6,24874
E92000001,England,nation,2020-08-10,65_to_84,519.4,47045
E92000001,England,nation,2020-08-09,18_to_64,105.2,35766
E92000001,England,nation,2020-08-09,0_to_5,17.1,670
E92000001,England,nation,2020-08-09,6_to_17,7.4,608
E92000001,England,nation,2020-08-09,85+,1768.0,24865
E92000001,England,nation,2020-08-09,65_to_84,519.1,47020
E92000001,England,nation,2020-08-08,18_to_64,105.2,35747
E92000001,England,nation,2020-08-08,0_to_5,17.1,670
E92000001,England,nation,2020-08-08,6_to_17,7.4,608
E92000001,England,nation,2020-08-08,85+,1767.0,24851
E92000001,England,nation,2020-08-08,65_to_84,518.9,47000
E92000001,England,nation,2020-08-07,18_to_64,105.1,35727
E92000001,England,nation,2020-08-07,0_to_5,17.0,669
E92000001,England,nation,2020-08-07,6_to_17,7.4,607
E92000001,England,nation,2020-08-07,85+,1766.2,24840
E92000001,England,nation,2020-08-07,65_to_84,518.6,46977
E92000001,England,nation,2020-08-06,18_to_64,105.0,35708
E92000001,England,nation,2020-08-06,0_to_5,17.0,668
E92000001,England,nation,2020-08-06,6_to_17,7.4,606
E92000001,England,nation,2020-08-06,85+,1765.5,24830
E92000001,England,nation,2020-08-06,65_to_84,518.3,46948
E92000001,England,nation,2020-08-05,18_to_64,105.0,35686
E92000001,England,nation,2020-08-05,0_to_5,17.0,666
E92000001,England,nation,2020-08-05,6_to_17,7.4,605
E92000001,England,nation,2020-08-05,85+,1765.0,24823
E92000001,England,nation,2020-08-05,65_to_84,518.1,46928
E92000001,England,nation,2020-08-04,18_to_64,104.9,35659
E92000001,England,nation,2020-08-04,0_to_5,16.9,665
E92000001,England,nation,2020-08-04,6_to_17,7.4,604
E92000001,England,nation,2020-08-04,85+,1764.2,24812
E92000001,England,nation,2020-08-04,65_to_84,517.9,46908
E92000001,England,nation,2020-08-03,18_to_64,104.8,35637
E92000001,England,nation,2020-08-03,0_to_5,16.9,664
E92000001,England,nation,2020-08-03,6_to_17,7.4,602
E92000001,England,nation,2020-08-03,85+,1763.6,24803
E92000001,England,nation,2020-08-03,65_to_84,517.6,46884
E92000001,England,nation,2020-08-02,18_to_64,104.8,35618
E92000001,England,nation,2020-08-02,0_to_5,16.8,661
E92000001,England,nation,2020-08-02,6_to_17,7.4,601
E92000001,England,nation,2020-08-02,85+,1762.4,24786
E92000001,England,nation,2020-08-02,65_to_84,517.2,46850
E92000001,England,nation,2020-08-01,18_to_64,104.7,35601
E92000001,England,nation,2020-08-01,0_to_5,16.8,661
E92000001,England,nation,2020-08-01,6_to_17,7.3,600
E92000001,England,nation,2020-08-01,85+,1761.7,24777
E92000001,England,nation,2020-08-01,65_to_84,516.9,46820
E92000001,England,nation,2020-07-31,18_to_64,104.7,35582
E92000001,England,nation,2020-07-31,0_to_5,16.8,661
E92000001,England,nation,2020-07-31,6_to_17,7.3,599
E92000001,England,nation,2020-07-31,85+,1761.2,24769
E92000001,England,nation,2020-07-31,65_to_84,516.7,46798
E92000001,England,nation,2020-07-30,18_to_64,104.6,35559
E92000001,England,nation,2020-07-30,0_to_5,16.8,661
E92000001,England,nation,2020-07-30,6_to_17,7.3,598
E92000001,England,nation,2020-07-30,85+,1760.2,24755
E92000001,England,nation,2020-07-30,65_to_84,516.5,46781
E92000001,England,nation,2020-07-29,18_to_64,104.5,35534
E92000001,England,nation,2020-07-29,0_to_5,16.8,661
E92000001,England,nation,2020-07-29,6_to_17,7.3,598
E92000001,England,nation,2020-07-29,85+,1759.1,24740
E92000001,England,nation,2020-07-29,65_to_84,516.1,46746
E92000001,England,nation,2020-07-28,18_to_64,104.5,35509
E92000001,England,nation,2020-07-28,0_to_5,16.8,661
E92000001,England,nation,2020-07-28,6_to_17,7.3,598
E92000001,England,nation,2020-07-28,85+,1758.6,24733
E92000001,England,nation,2020-07-28,65_to_84,515.8,46718
E92000001,England,nation,2020-07-27,18_to_64,104.4,35481
E92000001,England,nation,2020-07-27,0_to_5,16.8,661
E92000001,England,nation,2020-07-27,6_to_17,7.3,597
E92000001,England,nation,2020-07-27,85+,1758.0,24724
E92000001,England,nation,2020-07-27,65_to_84,515.4,46687
E92000001,England,nation,2020-07-26,18_to_64,104.3,35446
E92000001,England,nation,2020-07-26,0_to_5,16.8,659
E92000001,England,nation,2020-07-26,6_to_17,7.3,597
E92000001,England,nation,2020-07-26,85+,1757.0,24711
E92000001,England,nation,2020-07-26,65_to_84,515.1,46655
E92000001,England,nation,2020-07-25,18_to_64,104.2,35417
E92000001,England,nation,2020-07-25,0_to_5,16.7,658
E92000001,England,nation,2020-07-25,6_to_17,7.3,597
E92000001,England,nation,2020-07-25,85+,1755.9,24695
E92000001,England,nation,2020-07-25,65_to_84,514.9,46637
E92000001,England,nation,2020-07-24,18_to_64,104.1,35391
E92000001,England,nation,2020-07-24,0_to_5,16.7,657
E92000001,England,nation,2020-07-24,6_to_17,7.3,597
E92000001,England,nation,2020-07-24,85+,1755.0,24682
E92000001,England,nation,2020-07-24,65_to_84,514.6,46613
E92000001,England,nation,2020-07-23,18_to_64,104.0,35359
E92000001,England,nation,2020-07-23,0_to_5,16.7,656
E92000001,England,nation,2020-07-23,6_to_17,7.3,596
E92000001,England,nation,2020-07-23,85+,1753.5,24661
E92000001,England,nation,2020-07-23,65_to_84,514.2,46575
E92000001,England,nation,2020-07-22,18_to_64,103.9,35326
E92000001,England,nation,2020-07-22,0_to_5,16.7,655
E92000001,England,nation,2020-07-22,6_to_17,7.3,596
E92000001,England,nation,2020-07-22,85+,1751.8,24637
E92000001,England,nation,2020-07-22,65_to_84,513.6,46524
E92000001,England,nation,2020-07-21,18_to_64,103.8,35296
E92000001,England,nation,2020-07-21,0_to_5,16.6,653
E92000001,England,nation,2020-07-21,6_to_17,7.3,596
