areaCode,areaName,areaType,date,cumCasesBySpecimenDate,cumCasesBySpecimenDateRate,newCasesBySpecimenDate
S92000003,Scotland,nation,2020-06-18,18157,332.2,14
S92000003,Scotland,nation,2020-06-17,18143,331.9,33
S92000003,Scotland,nation,2020-06-16,18110,331.3,17
S92000003,Scotland,nation,2020-06-15,18093,331.0,21
S92000003,Scotland,nation,2020-06-14,18072,330.6,13
S92000003,Scotland,nation,2020-06-13,18059,330.4,22
S92000003,Scotland,nation,2020-06-12,18037,330.0,30
S92000003,Scotland,nation,2020-06-11,18007,329.4,21
S92000003,Scotland,nation,2020-06-10,17986,329.1,29
S92000003,Scotland,nation,2020-06-09,17957,328.5,27
S92000003,Scotland,nation,2020-06-08,17930,328.0,18
S92000003,Scotland,nation,2020-06-07,17912,327.7,17
S92000003,Scotland,nation,2020-06-06,17895,327.4,22
S92000003,Scotland,nation,2020-06-05,17873,327.0,24
S92000003,Scotland,nation,2020-06-04,17849,326.5,35
S92000003,Scotland,nation,2020-06-03,17814,325.9,34
S92000003,Scotland,nation,2020-06-02,17780,325.3,46
S92000003,Scotland,nation,2020-06-01,17734,324.4,38
S92000003,Scotland,nation,2020-05-31,17696,323.7,23
S92000003,Scotland,nation,2020-05-30,17673,323.3,40
S92000003,Scotland,nation,2020-05-29,17633,322.6,30
S92000003,Scotland,nation,2020-05-28,17603,322.0,55
S92000003,Scotland,nation,2020-05-27,17548,321.0,66
S92000003,Scotland,nation,2020-05-26,17482,319.8,478
S92000003,Scotland,nation,2020-05-25,17004,311.1,96
S92000003,Scotland,nation,2020-05-24,16908,309.3,53
S92000003,Scotland,nation,2020-05-23,16855,308.4,50
S92000003,Scotland,nation,2020-05-22,16805,307.4,91
S92000003,Scotland,nation,2020-05-21,16714,305.8,111
S92000003,Scotland,nation,2020-05-20,16603,303.8,121
S92000003,Scotland,nation,2020-05-19,16482,301.5,182
S92000003,Scotland,nation,2020-05-18,16300,298.2,141
S92000003,Scotland,nation,2020-05-17,16159,295.6,93
S92000003,Scotland,nation,2020-05-16,16066,293.9,103
S92000003,Scotland,nation,2020-05-15,15963,292.0,151
S92000003,Scotland,nation,2020-05-14,15812,289.3,211
S92000003,Scotland,nation,2020-05-13,15601,285.4,198
S92000003,Scotland,nation,2020-05-12,15403,281.8,230
S92000003,Scotland,nation,2020-05-11,15173,277.6,265
S92000003,Scotland,nation,2020-05-10,14908,272.7,153
S92000003,Scotland,nation,2020-05-09,14755,269.9,180
S92000003,Scotland,nation,2020-05-08,14575,266.6,258
S92000003,Scotland,nation,2020-05-07,14317,261.9,297
S92000003,Scotland,nation,2020-05-06,14020,256.5,307
S92000003,Scotland,nation,2020-05-05,13713,250.9,288
S92000003,Scotland,nation,2020-05-04,13425,245.6,329
S92000003,Scotland,nation,2020-05-03,13096,239.6,188
S92000003,Scotland,nation,2020-05-02,12908,236.2,222
S92000003,Scotland,nation,2020-05-01,12686,232.1,375
S92000003,Scotland,nation,2020-04-30,12311,225.2,337
S92000003,Scotland,nation,2020-04-29,11974,219.1,431
S92000003,Scotland,nation,2020-04-28,11543,211.2,383
S92000003,Scotland,nation,2020-04-27,11160,204.2,434
S92000003,Scotland,nation,2020-04-26,10726,196.2,171
S92000003,Scotland,nation,2020-04-25,10555,193.1,184
S92000003,Scotland,nation,2020-04-24,10371,189.7,306
S92000003,Scotland,nation,2020-04-23,10065,184.1,314
S92000003,Scotland,nation,2020-04-22,9751,178.4,340
S92000003,Scotland,nation,2020-04-21,9411,172.2,400
S92000003,Scotland,nation,2020-04-20,9011,164.9,348
S92000003,Scotland,nation,2020-04-19,8663,158.5,159
S92000003,Scotland,nation,2020-04-18,8504,155.6,264
S92000003,Scotland,nation,2020-04-17,8240,150.8,394
S92000003,Scotland,nation,2020-04-16,7846,143.5,428
S92000003,Scotland,nation,2020-04-15,7418,135.7,331
S92000003,Scotland,nation,2020-04-14,7087,129.7,346
S92000003,Scotland,nation,2020-04-13,6741,123.3,359
